Neuron Name,SKID,SKID in V14?,Classification,DN Type,Status,DT Hemisphere,Soma Hemisphere,ID,Annotations
neuron 6578342,6578341,True,DNp31,DNp,duplicate - manual,Right,LEFT HEMISPHERE,Identified DN,"['Published in Namiki 2018', 'right DT', 'Identified DN', 'DNp', 'DNp31', 'duplicate - manual', 'Descending Neuron', 'CAT-Ongoing', 'LEFT HEMISPHERE', 'CardLab', 'DN44 Exploration']"
neuron 6713816 ET,6713815,True,DNg type 15,DNg,duplicate - auto,Right,LEFT HEMISPHERE,Typed DN,"['duplicate - auto', 'right DT', 'DNg', 'Typed DN', 'DNg type 15', 'Unidentified DN', 'DN_Autoseg_Exploration', 'Card_DN_Exploration', 'DN Exploration', 'LEFT HEMISPHERE', 'Descending Neuron', 'CAT-Ongoing', 'Bilateral', 'CardLab']"
SPN upstream 6954211 JS,6954210,True,,DNg,duplicate - manual,Left,midLine,Unidentified DN,"['duplicate - manual', 'Unidentified DN', 'midLine', 'DNg', 'left DT', 'Descending Neuron', 'JS upstream SPN SEZ', 'JS upstream SPN']"
putative DNp04 neuron 6958819 SMA JSP,6958818,True,DNp04,DNp,Complete,Right,RIGHT HEMISPHERE,Identified DN,"['DNp04', 'Published in Namiki 2018', 'right DT', 'DNp', 'Identified DN', 'RIGHT HEMISPHERE', 'CardLab', 'Postsynaptic to LPLC2', 'Postsynaptic to LC4', 'CAT-Ongoing', 'DN Exploration', 'Descending Neuron', 'PCBR', 'Homolateral']"
GF input neuron 6964174 SMA - unclassified type 40,6964173,True,DNg type 2,DNg,Complete,Left,LEFT HEMISPHERE,Typed DN,"['left DT', 'DNg', 'Typed DN', 'DNg type 2', 'Unidentified DN', 'CAT-Ongoing', 'GF1 input neuron', 'CardLab', 'LEFT HEMISPHERE', 'GF2 input neuron', 'Input to GF1 anterior', 'Input to GF2 anterior', 'Descending Neuron', 'Unclassified GF input neuron - type 40', 'GCBR', 'connectives', 'multiTract', 'SET-2', 'AMMC_R', 'GNG', 'SAD', 'AMMC_L', 'Bilateral', 'contralateral', 'Heterolateral', 'projection neuron']"
SPN upstream 7001332 JS,7001331,True,,DNg,Complete,Left,RIGHT HEMISPHERE,Miscellaneous DNg,"['miscellaneous DNg', 'Unidentified DN', 'DNg', 'RIGHT HEMISPHERE', 'left DT', 'Descending Neuron', 'JS upstream SPN SEZ', 'JS upstream SPN']"
SPN upstream 7021261 JS,7021260,True,DNg type 22,DNg,duplicate - manual,Left,RIGHT HEMISPHERE,Typed DN,"['DNg type 22', 'Typed DN', 'duplicate - manual', 'Unidentified DN', 'RIGHT HEMISPHERE', 'left DT', 'DNg', 'Descending Neuron', 'JS upstream SPN', 'JS upstream SPN SEZ']"
GF input neuron 7034277 JSP - unclassified type 45,7034276,True,DNg type 13,DNg,Complete,Left,RIGHT HEMISPHERE,Typed DN,"['left DT', 'DNg', 'Typed DN', 'DNg type 13', 'Unidentified DN', 'GF1 input neuron', 'RIGHT HEMISPHERE', 'Input to GF1 anterior', 'Bilateral', 'CAT-Ongoing', 'Descending Neuron', 'CardLab', 'GCBR', 'Unclassified GF input neuron - type 45', 'connectives', 'SET-3', 'AMMC_R', 'GNG', 'SAD', 'WED_R', 'Ipsilateral', 'projection neuron', 'Heterolateral']"
GF input neuron 7119714 SMA - unclassified type 45,7119713,True,DNg type 13,DNg,Complete,Left,RIGHT HEMISPHERE,Typed DN,"['left DT', 'DNg', 'Typed DN', 'DNg type 13', 'Unidentified DN', 'CAT-Ongoing', 'GF1 input neuron', 'CardLab', 'RIGHT HEMISPHERE', 'GCBR', 'Descending Neuron', 'Input to GF1 anterior', 'Bilateral', 'Unclassified GF input neuron - type 45', 'connectives', 'SET-3', 'AMMC_R', 'GNG', 'IPS_R', 'SAD', 'WED_R', 'Ipsilateral', 'projection neuron', 'Heterolateral']"
putative DNp02 neuron 7138958 JSP SMA,7138957,True,DNp02,DNp,Complete,Right,RIGHT HEMISPHERE,Identified DN,"['DNp02', 'Published in Namiki 2018', 'right DT', 'DNp', 'Identified DN', 'RIGHT HEMISPHERE', 'CAT-Ongoing', 'CardLab', 'Postsynaptic to LC4', 'DN Exploration', 'Descending Neuron', 'Postsynaptic to LPLC2', 'PCBR', 'Homolateral', 'Sensorimotor']"
neuron 7138962 JSP ET,7138961,True,DNp type 20,DNp,duplicate - manual,Right,RIGHT HEMISPHERE,Typed DN,"['DNp type 20', 'duplicate - manual', 'right DT', 'DNp', 'Typed DN', 'RIGHT HEMISPHERE', 'Unidentified DN', 'CardLab', 'CAT-Ongoing', 'Right Hemisphere', 'Mixed I/O Seed - Lattice', 'Volume_MixedIO_Lattice_42', 'Mixed I/O Seed - Lattice neuron 8848923 JSL', 'postsynaptic to LC6', 'DN Exploration', 'Descending Neuron', 'PCBR', 'Mixed I/O Seed - Lattice - Complete', 'Mixed I/O Seed - Lattice - Purely Postsynaptic', 'downstream of LC6', 'Mixed I/O Seed - Lattice - Neuropil', 'input from LC6 medial', 'CX candidate']"
GF input neuron 7164402 JSP - unclassified type 119,7164401,True,DNp type 12,DNp,duplicate - auto,Right,RIGHT HEMISPHERE,Typed DN,"['duplicate - auto', 'right DT', 'DNp', 'DNp type 12', 'Typed DN', 'Unidentified DN', 'Green GF Inputs', 'DN Exploration', 'CAT-Ongoing', 'CardLab', 'RIGHT HEMISPHERE', 'Input to GF1 medial', 'GF1 input neuron', 'PCBR', 'Descending Neuron', 'Unclassified GF input neuron - Descending', 'connectives', 'AMMC_R', 'EPA_R', 'GNG', 'GOR_R', 'ICL_R', 'LAL_R', 'PLP_R', 'PVLP_R', 'SAD', 'WED_R', 'VES_R', 'Unilateral', 'Homolateral', 'Ipsilateral', 'projection neuron', 'Unclassified GF input neuron - type 119']"
Candidate Redhead L neuron 7193206 GSXEJ,7193205,True,DNp43,DNp,Complete,Left,LEFT HEMISPHERE,Identified DN,"['DNp43', 'Hiro_Dropbox_DNs', 'left DT', 'DNp', 'Identified DN', 'Input to GF2 medial', 'GF2 input neuron', 'LEFT HEMISPHERE', 'Descending Neuron', 'PCBR', 'Homolateral']"
neuron 7209178 SMA ET,7209177,True,DNp type 4,DNp,duplicate - manual,Right,RIGHT HEMISPHERE,Typed DN,"['duplicate - manual', 'right DT', 'DNp', 'DNp type 4', 'Typed DN', 'Unidentified DN', 'Card_DN_Exploration', 'CAT-Ongoing', 'CardLab', 'DN Exploration', 'Descending Neuron', 'RIGHT HEMISPHERE']"
neuron 7212151 SMA,7212150,True,DNp type 20,DNp,duplicate - manual,Right,RIGHT HEMISPHERE,Typed DN,"['DNp type 20', 'duplicate - manual', 'right DT', 'DNp', 'Typed DN', 'RIGHT HEMISPHERE', 'Unidentified DN', 'CAT-Ongoing', 'CardLab', 'DN Exploration', 'Descending Neuron', 'PCBR', 'Homolateral', 'Sensorimotor', 'pMN2 Input']"
neuron 7217355 SMA,7217354,True,DNp type 4,DNp,duplicate - manual,Right,RIGHT HEMISPHERE,Typed DN,"['Typed DN', 'DNp type 4', 'duplicate - manual', 'right DT', 'DNp', 'Unidentified DN', 'RIGHT HEMISPHERE', 'Descending Neuron', 'Postsynaptic to LPLC2', 'CardLab', 'CAT-Ongoing', 'DN Exploration']"
SLP.R-SMP.R-FLA.R-PRW-GNG-FLA.L-VNC fragment 7273705 FML Fangtooth,7273704,True,,,no FW soma,Left,FindSoma,Unidentified DN,"['no FW soma', 'Putative_Descending', 'left DT', 'Unidentified DN', 'Descending Neuron', 'FindSoma', 'MAMK_DANs_all', 'SMP_upstream_PAM25', 'FML - downstream of Caligari', 'AJES_all_y5PAMs_all_upstream', 'Paper: Huoviala et al 2018', 'GD_y5_upstream_fragment_skids', 'test for joe', 'test for joe2', 'JS_SPN_to_MP1', 'MWP_UPSTREAM_MP1', 'NAMK_DANs_all', 'FML - huoviala2017 preprint', 'For_Ito_Oct', 'NAMK_DANs_nolin_VNC', 'NAMK_DANs_VNC_04']"
SPN upstream 7302064 JS,7302063,True,DNg type 26,DNg,duplicate - manual,double DT,midLine,Typed DN,"['DNg type 26', 'Typed DN', 'double DT', 'duplicate - manual', 'left DT', 'Unidentified DN', 'DNg', 'midLine', 'Descending Neuron', 'JS upstream SPN SEZ', 'JS upstream SPN']"
putative aDN X,7334478,True,,DNg,Complete,Right,LEFT HEMISPHERE,Miscellaneous DNg,"['miscellaneous DNg', 'Unidentified DN', 'DNg', 'right DT', 'LEFT HEMISPHERE', 'Descending Neuron', 'HampelSeedsLab', 'putative antennal grooming descending neuron', 'KE upseg', 'downstream of aBN1', 'ASB stitched from auto segments', 'add to putative aDN X', 'v14-seg upload', 'neuron upload', 'upstream of antennal BN2_1']"
GF input neuron 7378888 JSP - unclassified type 60,7378887,True,DNg type 14,DNg,Complete,Right,midLine,Typed DN,"['right DT', 'DNg', 'DNg type 14', 'Typed DN', 'Unidentified DN', 'dense core vesicles', 'GF1 input neuron', 'Input to GF1 anterior', 'Bilateral', 'Descending Neuron', 'CardLab', 'GCBR', 'CAT-Ongoing', 'connectives', 'UnknownTracts', 'AMMC:ammc', 'multiTract', 'Unclassified GF input neuron - type 60', 'midLine', 'postsynaptic to JONeuron', 'AMMC_R', 'CAN_L', 'AVLP_R', 'GNG', 'WED_L', 'PVLP_R', 'SAD', 'SPS_L', 'VES_L', 'WED_R', 'Heterolateral', 'projection neuron']"
putative aDN3,7400146,True,DNg type 11,DNg,Complete,Right,midLine,Typed DN,"['Typed DN', 'DNg type 11', 'Unidentified DN', 'DNg', 'right DT', 'midLine', 'Descending Neuron', 'HampelSeedsLab', 'SH-SNprob', 'SH-BN2_1->BN2_2', 'downstream of aBN1', 'v14 upload']"
neuron 7404025 NF,7404024,True,,,Putative_Ascending,Right,FindSoma,Unidentified DN,"['no FW soma', 'Putative_Ascending', 'right DT', 'Unidentified DN', 'FindSoma', 'CAT-Ongoing', 'N2 Sampler Widget Partners', 'DicksonLab', 'Connected to pMN2', 'neuron 8550788 NF', 'neuron 8240720', 'neuron 7364772', 'VNC', 'uLPTCIN input neuron', 'LPTCIN input neuron', 'SAD', 'GNG', 'Putative Ascending Neuron', 'neuron 2627359', 'Descending Neuron', 'pMN2 Input']"
putative aDN X_2,7418058,True,,DNg,Complete,Left,LEFT HEMISPHERE,Miscellaneous DNg,"['miscellaneous DNg', 'LEFT HEMISPHERE', 'right DT', 'left DT', 'DNg', 'midLine', 'Unidentified DN', 'Descending Neuron', 'HampelSeedsLab', 'putative OAN-NM', 'v14 upload', 'downstream of aBN1']"
neuron 7789325 HL,7789324,True,,,duplicate - manual,Left,FindSoma,Unidentified DN,"['no FW soma', 'duplicate - manual', 'left DT', 'Unidentified DN', 'FindSoma', 'Chiappe-DN', 'Descending Neuron', 'ReiserLab', 'CAT-Ongoing', 'uLPTCIN input neuron', 'ChiappeLab']"
neuron 7789344 HL,7789343,True,,DNa,Complete,Left,LEFT HEMISPHERE,Miscellaneous DNa,"['miscellaneous DNa', 'left DT', 'DNa', 'Unidentified DN', 'LEFT HEMISPHERE', 'ReiserLab', 'CAT-Ongoing', 'Descending Neuron']"
putative VNC neuron 7791913 Brown Argus KJH,7791912,True,,,duplicate - manual,Right,FindSoma,Unidentified DN,"['no FW soma', 'right DT', 'Unidentified DN', 'Descending Neuron', 'duplicate - manual', 'FindSoma', 'putative descending neuron', 'NAMK_DANs_VNC_01', ""SMP_upstream_PAM-B'2a_1"", ""SMP_upstream_PAM-B'2a_1-no_MB_neurons"", 'SMP_upstream_PAM23', 'GD_y5_upstream_fragment_skids', 'NAMK_DANs_VNC', 'NAMK_DANs_all', ""SMP_upstream_all_PAM-B'2a-no_MB_neurons"", ""SMP_upstream_all_PAM-B'2a"", ""KJH_all_B'2a_all_upstream"", 'NAMK_DANs_nolin_VNC']"
Putative Right DNa06 7873499 KS,7873498,True,DNa06,DNa,Complete,Right,RIGHT HEMISPHERE,Identified DN,"['DNa06', 'Published in Namiki 2018', 'right DT', 'DNa', 'Identified DN', 'CardLab', 'CAT-Ongoing', 'Chiappe-Right', 'Chiappe-DN', 'ChiappeLab', 'LPTCIN input neuron', 'VNC', 'uLPTCIN input neuron', 'SAD', 'SPS_R', 'Neuron 5413827', 'Lineage_annotated', 'Volker_Hemilineage: DALd', 'ItoLee_Hemilineage: WEDd1', 'Homolateral', 'Sensorimotor', 'Volker_Lineage: DALd', 'ItoLee_Lineage: WEDd1', 'GNG', 'RIGHT HEMISPHERE', 'VCN Input neuron 376310', 'VCN Input neuron 402631', 'Descending Neuron', 'split from GF input neuron 5248671', 'ACBR', 'IPS_R', 'Putative DNa06']"
neuron 7898699 HL,7898698,True,DNa04,DNa,duplicate - manual,Left,LEFT HEMISPHERE,Identified DN,"['Published in Namiki 2018', 'DNa04', 'Identified DN', 'LEFT HEMISPHERE', 'duplicate - manual', 'left DT', 'DNa', 'CAT-Ongoing', 'ReiserLab', 'Descending Neuron']"
neuron 7935838,7935837,True,DNg type 26,DNg,duplicate - manual,double DT,midLine,Typed DN,"['DNg type 26', 'Typed DN', 'duplicate - manual', 'double DT', 'right DT', 'Unidentified DN', 'midLine', 'DNg', 'Descending Neuron']"
GF input neuron 8103010 JSP - unclassified type 60,8103009,True,DNg type 14,DNg,Complete,Left,midLine,Typed DN,"['left DT', 'DNg', 'DNg type 14', 'Typed DN', 'Unidentified DN', 'CAT-Ongoing', 'CardLab', 'Bilateral', 'Descending Neuron', 'dense core vesicles', 'GF1 input neuron', 'Input to GF1 anterior', 'GF2 input neuron', 'Input to GF2 anterior', 'GCBR', 'AMMC:ammc', 'connectives', 'UnknownTracts', 'Unclassified GF input neuron - type 60', 'midLine', 'postsynaptic to JONeuron', 'AMMC_R', 'AVLP_R', 'CAN_R', 'GNG', 'IB_L', 'IPS_L', 'SAD', 'SPS_L', 'SPS_R', 'VES_R', 'WED_L', 'WED_R', 'AMMC_L', 'Heterolateral', 'projection neuron']"
Second Order Gustatory Neuron 8106289 KS bitter,8106288,True,,DNg,duplicate - manual,Left,LEFT HEMISPHERE,Unidentified DN,"['duplicate - manual', 'LEFT HEMISPHERE', 'DNg', 'left DT', 'Unidentified DN', 'Descending Neuron', 'KS']"
neuron 8217566 HL,8217565,True,,DNp,duplicate - manual,Left,LEFT HEMISPHERE,Miscellaneous DNp,"['miscellaneous DNp', 'LEFT HEMISPHERE', 'duplicate - manual', 'left DT', 'Unidentified DN', 'DNp', 'ReiserLab', 'CAT-Ongoing', 'Descending Neuron']"
Candidate Auburn L neuron 8357941 FML,8357940,True,DNp43,DNp,Complete,Left,LEFT HEMISPHERE,Identified DN,"['DNp43', 'Hiro_Dropbox_DNs', 'left DT', 'DNp', 'LEFT HEMISPHERE', 'Identified DN', 'Descending Neuron']"
DNp 8358768 FML Auburn,8358767,True,DNp43,DNp,duplicate - manual,Right,RIGHT HEMISPHERE,Identified DN,"['DNp', 'duplicate - manual', 'Hiro_Dropbox_DNs', 'Identified DN', 'DNp43', 'right DT', 'RIGHT HEMISPHERE', 'Descending Neuron']"
neuron 8458864 CMP,8458863,True,DNd02,DNd,duplicate - manual,Right,RIGHT HEMISPHERE,Identified DN,"['Published in Namiki 2018', 'DNd', 'Identified DN', 'DNd02', 'duplicate - manual', 'RIGHT HEMISPHERE', 'right DT', 'Descending Neuron', 'DicksonLab', 'CAT-Ongoing', 'pMN2 Input']"
neuron 8458977 CMP,8458976,True,DNp101,DNp,duplicate - manual,Right,LEFT HEMISPHERE,Identified DN,"['Hiro_Dropbox_DNs', 'Identified DN', 'DNp101', 'Unidentified DN', 'DNp', 'LEFT HEMISPHERE', 'right DT', 'Descending Neuron', 'duplicate - manual', 'CAT-Ongoing', 'DicksonLab', 'pMN2 Input']"
neuron 8459006 CMP,8459005,True,,,Putative_Ascending,Right,,,"['right DT', 'Putative_Ascending', 'CAT-Ongoing', 'DicksonLab', 'Descending Neuron', 'pMN2 Input']"
neuron 8459305 CMP,8459304,True,DNg type 7,DNg,duplicate - manual,Right,LEFT HEMISPHERE,Typed DN,"['DNg type 7', 'Typed DN', 'LEFT HEMISPHERE', 'duplicate - manual', 'right DT', 'Unidentified DN', 'DNg', 'CAT-Ongoing', 'DicksonLab', 'Descending Neuron', 'pMN2 Input']"
neuron 8462375 CMP,8462374,True,DNg type 24,DNg,Complete,Right,RIGHT HEMISPHERE,Typed DN,"['DNg type 24', 'Typed DN', 'right DT', 'DNg', 'RIGHT HEMISPHERE', 'Unidentified DN', 'DicksonLab', 'CAT-Ongoing', 'Descending Neuron', 'pMN2 Input']"
neuron 8462409 CMP,8462408,True,,DNb,duplicate - manual,Left,LEFT HEMISPHERE,Unidentified DN,"['miscellaneous DNb', 'duplicate - manual', 'LEFT HEMISPHERE', 'left DT', 'Unidentified DN', 'DNb', 'DicksonLab', 'CAT-Ongoing', 'Descending Neuron', 'pMN2 Input']"
neuron 8466549 RP,8466548,True,,DNp,duplicate - manual,Left,RIGHT HEMISPHERE,Miscellaneous DNp,"['miscellaneous DNp', 'Bilateral', 'RIGHT HEMISPHERE', 'left DT', 'duplicate - manual', 'DNp', 'Unidentified DN', 'Descending Neuron', 'CardLab', 'CAT-Ongoing']"
neuron 8468993 CMP,8468992,True,,DNg,duplicate - manual,Left,RIGHT HEMISPHERE,Miscellaneous DNg,"['miscellaneous DNg', 'duplicate - manual', 'left DT', 'Unidentified DN', 'DNg', 'RIGHT HEMISPHERE', 'DicksonLab', 'CAT-Ongoing', 'Descending Neuron', 'pMN2 Input']"
neuron 8471789 CMP,8471788,True,,,Putative_Ascending,Right,,,"['no FW soma', 'Putative_Ascending', 'right DT', 'DicksonLab', 'CAT-Ongoing', 'Descending Neuron', 'pMN2 Input']"
neuron 8473039 CMP,8473038,True,DNg type 29,DNg,duplicate - manual,Left,RIGHT HEMISPHERE,Typed DN,"['DNg type 29', 'Typed DN', 'RIGHT HEMISPHERE', 'DNg', 'duplicate - manual', 'left DT', 'Unidentified DN', 'DicksonLab', 'CAT-Ongoing', 'Descending Neuron', 'pMN2 Input']"
neuron 8480276 CMP,8480275,True,DNp47,DNp,duplicate - manual,Right,RIGHT HEMISPHERE,Identified DN,"['Hiro_Dropbox_DNs', 'Identified DN', 'DNp47', 'RIGHT HEMISPHERE', 'duplicate - manual', 'right DT', 'Unidentified DN', 'DNp', 'DicksonLab', 'CAT-Ongoing', 'Descending Neuron', 'pMN2 Input']"
neuron 8483371 CMP,8483370,True,,,Putative_Ascending,Right,,,"['unclear FW', 'right DT', 'Putative_Ascending', 'DicksonLab', 'CAT-Ongoing', 'Descending Neuron', 'pMN2 Input']"
neuron 8500610 CMP,8500609,True,,,Putative_Ascending,Right,,,"['no FW soma', 'right DT', 'Putative_Ascending', 'DicksonLab', 'CAT-Ongoing', 'Descending Neuron', 'pMN2 Input']"
Mixed I/O Seed - Lattice neuron 8560253,8560252,True,,DNg,duplicate - manual,Right,RIGHT HEMISPHERE,Unidentified DN,"['Unidentified DN', 'DNg', 'RIGHT HEMISPHERE', 'right DT', 'Descending Neuron', 'duplicate - manual', 'Mixed I/O Seed - Lattice - Complete', 'Mixed I/O Seed - Lattice - Neuropil', 'Mixed I/O Seed - Lattice - Backbone', 'Mixed I/O Seed - Lattice - Purely Postsynaptic', 'Mixed I/O Seed - Lattice', 'Volume_MixedIO_Lattice_49']"
Potential TPN 8566830,8566829,True,DNp90D02,DNp,duplicate - manual,Right,RIGHT HEMISPHERE,Identified DN,"['Hiro_Dropbox_DNs', 'Identified DN', 'DNp90D02', 'duplicate - manual', 'RIGHT HEMISPHERE', 'right DT', 'DNp', 'Descending Neuron', 'WTPN2017_lALT_right', 'SCHLEGEL lALT', 'WTPN2017_lALT', 'WTPN2017_bypass_AL', 'WTPN2017_bypass_LH', 'WTPN2017_non_olf', 'WTPN2017_right']"
SCS_unclassified_4,8651359,True,,DNg,Complete,Right,LEFT HEMISPHERE,Unidentified DN,"['Unidentified DN', 'DNg', 'right DT', 'LEFT HEMISPHERE', 'Descending Neuron', 'SCS_unclassified', 'HampelSeedsLab', 'upstream of antennal BN2_1', 'similar to SCS_unclassified_6', 'unclassified', 'neuron 8651360 SCS', 'similar to neuron 11602389 ET']"
neuron 8742166 JSP,8742165,True,,DNg,duplicate - manual,Right,LEFT HEMISPHERE,Miscellaneous DNg,"['right DT', 'miscellaneous DNg', 'DNg', 'DN_Autoseg_Exploration', 'duplicate - manual', 'Unidentified DN', 'Descending Neuron', 'CAT-Ongoing', 'CardLab', 'DN106 input neuron', 'DNp10_Non-Visual_Input_ClusterA', 'LEFT HEMISPHERE', 'Bilateral', 'GCBR']"
Putative Left DNOVS1 9090664 ME,9090663,True,DNp20,DNp,Complete,Left,LEFT HEMISPHERE,Identified DN,"['DNp20', 'Published in Namiki 2018', 'left DT', 'DNp', 'Identified DN', 'LEFT HEMISPHERE', 'Chiappe-DN', 'Chiappe-Ocellar Network', 'Chiappe-Left', 'IPS_L', 'putative DNOVS1', 'SPS_L', 'putative DNp20', 'LPTCIN output neuron', 'VNC', 'ChiappeLab', 'rLPTCIN output neuron', 'Descending Neuron']"
neuron 9487151 KS,9487150,True,,DNp,duplicate - manual,double DT,midLine,Miscellaneous DNp,"['miscellaneous DNp', 'double DT', 'Unidentified DN', 'DNp', 'right DT', 'duplicate - manual', 'left DT', 'midLine', 'Descending Neuron', 'Chiappe-Ongoing', 'IB_L', 'Chiappe-Putative AN', 'SPS_L', 'ChiappeLab', 'uLPTCIN input neuron', 'GNG', 'VNC']"
neuron 9487251 KS,9487250,True,DNg type 24,DNg,Complete,Left,LEFT HEMISPHERE,Typed DN,"['DNg type 24', 'Typed DN', 'left DT', 'DNg', 'Unidentified DN', 'LEFT HEMISPHERE', 'Chiappe-DN', 'Chiappe-Putative Neuromodulatory', 'Chiappe-Midline', 'Chiappe-Ongoing', 'ChiappeLab', 'GNG', 'VNC', 'Large vesicles', 'putative octopaminergic', 'Descending Neuron', 'uLPTCIN input neuron', 'LPTCIN input neuron']"
descending BN2_1,9623333,True,,DNg,Complete,Right,RIGHT HEMISPHERE,Miscellaneous DNg,"['miscellaneous DNg', 'posterior soma', 'Unidentified DN', 'RIGHT HEMISPHERE', 'right DT', 'DNg', 'Descending Neuron', 'HampelSeedsLab', 'KE_BN2 seed nodes', 'backbone traced KE', 'descending neuron KE', 'BN2 bundle right']"
neuron 9857765 ME,9857764,True,,DNg,Complete,Right,RIGHT HEMISPHERE,Miscellaneous DNg,"['miscellaneous DNg', 'posterior soma', 'right DT', 'DNg', 'RIGHT HEMISPHERE', 'Unidentified DN', 'Chiappe-DN', 'VNC', 'LPTCIN output neuron', 'GNG', 'rLPTCIN output neuron', 'Descending Neuron', 'IPS_R', 'ChiappeLab']"
SH_head_BN2_sensory_7,9932645,True,,DNg,Complete,Right,RIGHT HEMISPHERE,Miscellaneous DNg,"['miscellaneous DNg', 'medial soma', 'right DT', 'DNg', 'Unidentified DN', 'neuron 11430305 ET', 'DN Exploration', 'Descending Neuron', 'CAT-Ongoing', 'RIGHT HEMISPHERE', 'Card_DN_Exploration', 'Bilateral', 'CardLab']"
Putative Right DNOVS1 9937342 ME,9937341,True,DNp20,DNp,Complete,Right,RIGHT HEMISPHERE,Identified DN,"['DNp20', 'Published in Namiki 2018', 'right DT', 'DNp', 'Identified DN', 'RIGHT HEMISPHERE', 'Chiappe-DN', 'Chiappe-Ocellar Network', 'Chiappe-Right', 'putative DNp20', 'Descending Neuron', 'SPS_R', 'IPS_R', 'LPTCIN output neuron', 'ChiappeLab', 'rLPTCIN output neuron', 'putative DNOVS1', 'VNC']"
Putative DN neuron 10038143 GMC ET,10038142,True,DNp type 16,DNp,duplicate - manual,Left,RIGHT HEMISPHERE,Typed DN,"['Typed DN', 'DNp type 16', 'DNp', 'duplicate - manual', 'left DT', 'RIGHT HEMISPHERE', 'Unidentified DN', 'Descending Neuron', 'Card_DN_Exploration', 'DN_Autoseg_Exploration', 'Bilateral', 'DN Exploration', 'Halted Neuron', 'CAT-Ongoing', 'neuron 11413859 ET', 'CardLab']"
Putative DNp11 neuron 10038155 GMC JK,10038154,True,DNp11,DNp,duplicate - manual,Right,LEFT HEMISPHERE,Identified DN,"['DNp11', 'Published in Namiki 2018', 'duplicate - manual', 'right DT', 'DNp', 'in bundle with aIP neurons_not of interest', 'Kathi in bundle too posterior', 'LEFT HEMISPHERE', 'Identified DN', 'Bilateral', 'Descending Neuron', 'CAT-Ongoing', 'CardLab', 'Card_DN_Exploration', 'DN Exploration']"
descending BN2_3 left,10096513,True,,DNg,Complete,Right,LEFT HEMISPHERE,Miscellaneous DNg,"['miscellaneous DNg', 'posterior soma', 'Unidentified DN', 'DNg', 'LEFT HEMISPHERE', 'right DT', 'Descending Neuron', 'HampelSeedsLab', 'BN2 bundle left']"
downstream of antennal BN2_1 KE_15,10432924,True,,DNg,duplicate - manual,Right,LEFT HEMISPHERE,Miscellaneous DNg,"['miscellaneous DNg', 'duplicate - manual', 'Unidentified DN', 'DNg', 'right DT', 'LEFT HEMISPHERE', 'Descending Neuron', 'HampelSeedsLab', 'downstream of aBN2_1', 'downstream of antennal grooming circuit']"
descending BN2_2 left,10532938,True,,DNg,duplicate - manual,Left,LEFT HEMISPHERE,Miscellaneous DNg,"['miscellaneous DNg', 'Unidentified DN', 'duplicate - manual', 'DNg', 'left DT', 'LEFT HEMISPHERE', 'Descending Neuron', 'HampelSeedsLab', 'BN2 bundle left']"
Neuron 11122221 Split from neuron 5353954 Robin CMP NF,11122220,True,Putative DNd01,,Putative_Ascending,,,,"['Putative_Ascending', 'JH_ascending_ant', 'NAMK_auto_30', 'NAMK_R', 'NAMK_cluster_30_a', 'AJES_all_y5PAMs_all_upstream', 'C6 Output', 'CAT-Ongoing', 'Connected to pMN2', 'Connected to pMP8', 'Descending Neuron', 'DicksonLab', 'N2 Sampler Widget Partners', 'NAMK_DANs_all', 'NAMK_DANs_nolin_VNC', 'pMN2 Input', 'pMP8 Output', 'Putative DNd01', 'SMP_upstream_PAM10', 'Upstream of aIP-g', 'NAMK_DANs_VNC_04', 'NAMK_DANs_autoclustering', 'NAMK_DANs_autocluster_26', 'KJH_first_7_y5_USNs']"
Neuron 11122967 Split from neuron 5353954 Robin CMP NF,11122966,True,Putative DNd01,,Putative_Ascending,,,,"['Putative_Ascending', 'C6 Output', 'pMP8 Output', 'WTPN2017_mALT_lALT_base', 'SMP_upstream_PAM23', 'Descending Neuron', 'neuron 10901676', 'Connected to pMN2', 'Upstream of aIP-g', 'not a PN', 'N2 Sampler Widget Partners', 'DicksonLab', 'neuron 10849024', 'Connected to pMP8', 'AJES_new_upstream_neurons', 'CAT-Ongoing', 'pMN2 Input', 'Putative DNd01', 'NAMK_DANs_all', 'GD_y5_upstream_fragment_skids']"
neuron 11393922 ET,11393921,True,DNg type 29,DNg,Complete,Right,LEFT HEMISPHERE,Typed DN,"['Typed DN', 'DNg type 29', 'right DT', 'DNg', 'Unidentified DN', 'Card_DN_Exploration', 'LEFT HEMISPHERE', 'Descending Neuron', 'Bilateral', 'CardLab', 'CAT-Ongoing', 'DN Exploration']"
neuron 11403044 ET,11403043,True,DNg type 5,DNg,Complete,Right,LEFT HEMISPHERE,Typed DN,"['right DT', 'DNg', 'Typed DN', 'DNg type 5', 'Unidentified DN', 'Card_DN_Exploration', 'LEFT HEMISPHERE', 'Bilateral', 'Descending Neuron', 'CardLab', 'DN Exploration', 'CAT-Ongoing']"
neuron 11405106 ET,11405105,True,DNg type 28,DNg,Complete,Right,midLine,Typed DN,"['Typed DN', 'DNg type 28', 'right DT', 'DNg', 'Unidentified DN', 'Card_DN_Exploration', 'midLine', 'Bilateral', 'Descending Neuron', 'CardLab', 'CAT-Ongoing', 'DN Exploration']"
